case_id,model,condition,total_motifs,discriminating_count,supporting_count,arguing_count,discriminating_ratio,supporting_ratio,expert_reasoning_index
NEJM_CPC_24_2025,google/gemini-3-pro-preview,structured,47,3,27,14,0.06382978723404255,0.574468085106383,0.3617021276595745
NEJM_CPC_35_2025,openai/gpt-5.4,baseline,115,4,69,36,0.034782608695652174,0.6,0.34782608695652173
NEJM_CPC_35_2025,openai/gpt-5.4,adversarial,81,2,50,24,0.024691358024691357,0.6172839506172839,0.32098765432098764
NEJM_CPC_35_2025,openai/gpt-5.4,structured,72,1,38,16,0.013888888888888888,0.5277777777777778,0.2361111111111111
NEJM_CPC_35_2025,openai/gpt-5.2,baseline,45,3,25,10,0.06666666666666667,0.5555555555555556,0.28888888888888886
NEJM_CPC_35_2025,openai/gpt-5.2,adversarial,45,1,28,7,0.022222222222222223,0.6222222222222222,0.17777777777777778
NEJM_CPC_35_2025,openai/gpt-5.2,structured,44,3,26,7,0.06818181818181818,0.5909090909090909,0.22727272727272727
NEJM_CPC_35_2025,anthropic/claude-sonnet-4.5,baseline,54,1,34,19,0.018518518518518517,0.6296296296296297,0.37037037037037035
NEJM_CPC_35_2025,anthropic/claude-sonnet-4.5,adversarial,58,3,36,6,0.05172413793103448,0.6206896551724138,0.15517241379310345
NEJM_CPC_35_2025,anthropic/claude-sonnet-4.5,structured,69,1,43,15,0.014492753623188406,0.6231884057971014,0.2318840579710145
NEJM_CPC_35_2025,anthropic/claude-opus-4.5,baseline,46,2,31,10,0.043478260869565216,0.6739130434782609,0.2608695652173913
NEJM_CPC_35_2025,anthropic/claude-opus-4.5,adversarial,45,1,31,6,0.022222222222222223,0.6888888888888889,0.15555555555555556
NEJM_CPC_35_2025,anthropic/claude-opus-4.5,structured,76,2,44,17,0.02631578947368421,0.5789473684210527,0.25
NEJM_CPC_35_2025,google/gemini-3-pro-preview,baseline,42,4,23,9,0.09523809523809523,0.5476190476190477,0.30952380952380953
NEJM_CPC_35_2025,google/gemini-3-pro-preview,adversarial,61,1,39,15,0.01639344262295082,0.639344262295082,0.26229508196721313
NEJM_CPC_35_2025,google/gemini-3-pro-preview,structured,69,1,40,20,0.014492753623188406,0.5797101449275363,0.30434782608695654
NEJM_CPC_17_2025,openai/gpt-5.4,baseline,108,1,65,33,0.009259259259259259,0.6018518518518519,0.3148148148148148
NEJM_CPC_17_2025,openai/gpt-5.4,adversarial,62,1,33,18,0.016129032258064516,0.532258064516129,0.3064516129032258
NEJM_CPC_17_2025,openai/gpt-5.4,structured,86,3,50,16,0.03488372093023256,0.5813953488372093,0.22093023255813954
NEJM_CPC_17_2025,openai/gpt-5.2,baseline,50,0,30,20,0.0,0.6,0.4
NEJM_CPC_17_2025,openai/gpt-5.2,adversarial,50,4,31,8,0.08,0.62,0.24
NEJM_CPC_17_2025,anthropic/claude-sonnet-4.5,baseline,52,0,33,15,0.0,0.6346153846153846,0.28846153846153844
NEJM_CPC_17_2025,anthropic/claude-sonnet-4.5,adversarial,72,0,39,10,0.0,0.5416666666666666,0.1388888888888889
NEJM_CPC_17_2025,anthropic/claude-sonnet-4.5,structured,64,1,38,14,0.015625,0.59375,0.234375
NEJM_CPC_17_2025,anthropic/claude-opus-4.5,baseline,47,0,34,8,0.0,0.723404255319149,0.1702127659574468
NEJM_CPC_17_2025,anthropic/claude-opus-4.5,adversarial,69,1,51,9,0.014492753623188406,0.7391304347826086,0.14492753623188406
NEJM_CPC_17_2025,anthropic/claude-opus-4.5,structured,71,2,54,13,0.028169014084507043,0.7605633802816901,0.2112676056338028
NEJM_CPC_17_2025,google/gemini-3-pro-preview,baseline,38,2,17,6,0.05263157894736842,0.4473684210526316,0.21052631578947367
NEJM_CPC_17_2025,google/gemini-3-pro-preview,adversarial,82,2,52,17,0.024390243902439025,0.6341463414634146,0.23170731707317074
NEJM_CPC_17_2025,google/gemini-3-pro-preview,structured,56,1,34,9,0.017857142857142856,0.6071428571428571,0.17857142857142858
NEJM_CPC_12_2025,openai/gpt-5.4,baseline,72,5,31,33,0.06944444444444445,0.4305555555555556,0.5277777777777778
NEJM_CPC_12_2025,openai/gpt-5.4,adversarial,55,1,32,15,0.01818181818181818,0.5818181818181818,0.2909090909090909
NEJM_CPC_12_2025,openai/gpt-5.4,structured,63,2,32,21,0.031746031746031744,0.5079365079365079,0.36507936507936506
NEJM_CPC_12_2025,openai/gpt-5.2,baseline,43,2,21,13,0.046511627906976744,0.4883720930232558,0.3488372093023256
NEJM_CPC_12_2025,openai/gpt-5.2,adversarial,51,1,29,13,0.0196078431372549,0.5686274509803921,0.27450980392156865
NEJM_CPC_12_2025,openai/gpt-5.2,structured,59,5,26,20,0.0847457627118644,0.4406779661016949,0.423728813559322
NEJM_CPC_12_2025,anthropic/claude-sonnet-4.5,baseline,52,1,30,18,0.019230769230769232,0.5769230769230769,0.36538461538461536
NEJM_CPC_12_2025,anthropic/claude-sonnet-4.5,adversarial,50,2,24,8,0.04,0.48,0.2
NEJM_CPC_12_2025,anthropic/claude-sonnet-4.5,structured,73,2,34,14,0.0273972602739726,0.4657534246575342,0.2191780821917808
NEJM_CPC_12_2025,anthropic/claude-opus-4.5,baseline,31,0,18,13,0.0,0.5806451612903226,0.41935483870967744
NEJM_CPC_12_2025,anthropic/claude-opus-4.5,adversarial,75,3,47,10,0.04,0.6266666666666667,0.17333333333333334
NEJM_CPC_12_2025,anthropic/claude-opus-4.5,structured,66,2,39,15,0.030303030303030304,0.5909090909090909,0.25757575757575757
NEJM_CPC_12_2025,google/gemini-3-pro-preview,baseline,61,2,39,9,0.03278688524590164,0.639344262295082,0.18032786885245902
NEJM_CPC_12_2025,google/gemini-3-pro-preview,adversarial,114,2,82,22,0.017543859649122806,0.7192982456140351,0.21052631578947367
NEJM_CPC_12_2025,google/gemini-3-pro-preview,structured,74,3,42,24,0.04054054054054054,0.5675675675675675,0.36486486486486486
NEJM_CPC_08_2025,openai/gpt-5.4,baseline,63,0,44,18,0.0,0.6984126984126984,0.2857142857142857
NEJM_CPC_08_2025,openai/gpt-5.4,adversarial,77,1,41,20,0.012987012987012988,0.5324675324675324,0.2727272727272727
NEJM_CPC_08_2025,openai/gpt-5.4,structured,109,3,77,20,0.027522935779816515,0.7064220183486238,0.21100917431192662
NEJM_CPC_08_2025,openai/gpt-5.2,baseline,47,3,35,9,0.06382978723404255,0.7446808510638298,0.2553191489361702
NEJM_CPC_08_2025,openai/gpt-5.2,adversarial,63,0,50,10,0.0,0.7936507936507936,0.15873015873015872
NEJM_CPC_08_2025,openai/gpt-5.2,structured,62,2,45,8,0.03225806451612903,0.7258064516129032,0.16129032258064516
NEJM_CPC_08_2025,anthropic/claude-sonnet-4.5,baseline,49,1,34,10,0.02040816326530612,0.6938775510204082,0.22448979591836735
NEJM_CPC_08_2025,anthropic/claude-sonnet-4.5,adversarial,56,2,37,10,0.03571428571428571,0.6607142857142857,0.21428571428571427
NEJM_CPC_08_2025,anthropic/claude-sonnet-4.5,structured,67,1,41,11,0.014925373134328358,0.6119402985074627,0.1791044776119403
NEJM_CPC_08_2025,anthropic/claude-opus-4.5,baseline,46,1,35,7,0.021739130434782608,0.7608695652173914,0.17391304347826086
NEJM_CPC_08_2025,anthropic/claude-opus-4.5,adversarial,59,0,35,11,0.0,0.5932203389830508,0.1864406779661017
NEJM_CPC_08_2025,anthropic/claude-opus-4.5,structured,80,1,56,14,0.0125,0.7,0.1875
NEJM_CPC_08_2025,google/gemini-3-pro-preview,baseline,32,1,20,5,0.03125,0.625,0.1875
NEJM_CPC_08_2025,google/gemini-3-pro-preview,adversarial,46,0,24,6,0.0,0.5217391304347826,0.13043478260869565
NEJM_CPC_08_2025,google/gemini-3-pro-preview,structured,76,2,47,17,0.02631578947368421,0.618421052631579,0.25
NEJM_CPC_04_2025,openai/gpt-5.4,baseline,115,3,65,43,0.02608695652173913,0.5652173913043478,0.4
NEJM_CPC_04_2025,openai/gpt-5.4,adversarial,62,2,36,17,0.03225806451612903,0.5806451612903226,0.3064516129032258
NEJM_CPC_04_2025,openai/gpt-5.4,structured,60,2,34,13,0.03333333333333333,0.5666666666666667,0.25
NEJM_CPC_04_2025,openai/gpt-5.2,baseline,54,3,24,27,0.05555555555555555,0.4444444444444444,0.5555555555555556
NEJM_CPC_04_2025,openai/gpt-5.2,adversarial,69,1,41,9,0.014492753623188406,0.5942028985507246,0.14492753623188406
NEJM_CPC_04_2025,openai/gpt-5.2,structured,59,1,34,8,0.01694915254237288,0.576271186440678,0.15254237288135594
NEJM_CPC_04_2025,anthropic/claude-sonnet-4.5,baseline,56,1,35,18,0.017857142857142856,0.625,0.3392857142857143
NEJM_CPC_04_2025,anthropic/claude-sonnet-4.5,adversarial,73,1,31,18,0.0136986301369863,0.4246575342465753,0.2602739726027397
NEJM_CPC_04_2025,anthropic/claude-sonnet-4.5,structured,66,5,30,9,0.07575757575757576,0.45454545454545453,0.21212121212121213
NEJM_CPC_04_2025,anthropic/claude-opus-4.5,baseline,44,2,30,3,0.045454545454545456,0.6818181818181818,0.11363636363636363
NEJM_CPC_04_2025,anthropic/claude-opus-4.5,adversarial,45,0,35,9,0.0,0.7777777777777778,0.2
NEJM_CPC_04_2025,anthropic/claude-opus-4.5,structured,91,2,64,13,0.02197802197802198,0.7032967032967034,0.16483516483516483
NEJM_CPC_04_2025,google/gemini-3-pro-preview,baseline,40,0,30,8,0.0,0.75,0.2
NEJM_CPC_04_2025,google/gemini-3-pro-preview,adversarial,81,1,51,19,0.012345679012345678,0.6296296296296297,0.24691358024691357
NEJM_CPC_04_2025,google/gemini-3-pro-preview,structured,66,2,34,9,0.030303030303030304,0.5151515151515151,0.16666666666666666
NEJM_CPC_36_2024,openai/gpt-5.4,baseline,96,3,46,45,0.03125,0.4791666666666667,0.5
NEJM_CPC_36_2024,openai/gpt-5.4,adversarial,62,1,34,15,0.016129032258064516,0.5483870967741935,0.25806451612903225
NEJM_CPC_36_2024,openai/gpt-5.4,structured,58,1,40,14,0.017241379310344827,0.6896551724137931,0.25862068965517243
NEJM_CPC_36_2024,openai/gpt-5.2,baseline,47,3,26,18,0.06382978723404255,0.5531914893617021,0.44680851063829785
NEJM_CPC_36_2024,openai/gpt-5.2,adversarial,55,2,26,10,0.03636363636363636,0.4727272727272727,0.21818181818181817
NEJM_CPC_36_2024,openai/gpt-5.2,structured,37,1,18,10,0.02702702702702703,0.4864864864864865,0.2972972972972973
NEJM_CPC_36_2024,anthropic/claude-sonnet-4.5,adversarial,69,1,46,11,0.014492753623188406,0.6666666666666666,0.17391304347826086
NEJM_CPC_36_2024,anthropic/claude-sonnet-4.5,structured,79,1,53,11,0.012658227848101266,0.6708860759493671,0.1518987341772152
NEJM_CPC_36_2024,anthropic/claude-opus-4.5,baseline,39,1,23,7,0.02564102564102564,0.5897435897435898,0.20512820512820512
NEJM_CPC_36_2024,anthropic/claude-opus-4.5,adversarial,44,1,31,6,0.022727272727272728,0.7045454545454546,0.1590909090909091
NEJM_CPC_36_2024,anthropic/claude-opus-4.5,structured,76,1,41,24,0.013157894736842105,0.5394736842105263,0.32894736842105265
NEJM_CPC_36_2024,google/gemini-3-pro-preview,baseline,45,0,29,5,0.0,0.6444444444444445,0.1111111111111111
NEJM_CPC_36_2024,google/gemini-3-pro-preview,adversarial,72,2,50,13,0.027777777777777776,0.6944444444444444,0.20833333333333334
NEJM_CPC_36_2024,google/gemini-3-pro-preview,structured,85,4,43,14,0.047058823529411764,0.5058823529411764,0.21176470588235294
NEJM_CPC_31_2024,openai/gpt-5.4,baseline,98,1,55,29,0.01020408163265306,0.5612244897959183,0.30612244897959184
NEJM_CPC_31_2024,openai/gpt-5.4,adversarial,71,1,37,17,0.014084507042253521,0.5211267605633803,0.2535211267605634
NEJM_CPC_31_2024,openai/gpt-5.4,structured,70,4,37,24,0.05714285714285714,0.5285714285714286,0.4
NEJM_CPC_31_2024,openai/gpt-5.2,baseline,72,2,44,21,0.027777777777777776,0.6111111111111112,0.3194444444444444
NEJM_CPC_31_2024,openai/gpt-5.2,adversarial,43,1,21,14,0.023255813953488372,0.4883720930232558,0.3488372093023256
NEJM_CPC_31_2024,openai/gpt-5.2,structured,74,1,45,17,0.013513513513513514,0.6081081081081081,0.24324324324324326
NEJM_CPC_31_2024,anthropic/claude-sonnet-4.5,baseline,60,1,40,17,0.016666666666666666,0.6666666666666666,0.3
NEJM_CPC_31_2024,anthropic/claude-sonnet-4.5,adversarial,60,3,26,12,0.05,0.43333333333333335,0.25
NEJM_CPC_31_2024,anthropic/claude-sonnet-4.5,structured,64,2,28,14,0.03125,0.4375,0.25
NEJM_CPC_31_2024,anthropic/claude-opus-4.5,baseline,33,0,21,12,0.0,0.6363636363636364,0.36363636363636365
NEJM_CPC_31_2024,anthropic/claude-opus-4.5,adversarial,64,1,28,23,0.015625,0.4375,0.375
NEJM_CPC_31_2024,anthropic/claude-opus-4.5,structured,75,1,38,24,0.013333333333333334,0.5066666666666667,0.3333333333333333
NEJM_CPC_31_2024,google/gemini-3-pro-preview,baseline,42,2,22,7,0.047619047619047616,0.5238095238095238,0.21428571428571427
NEJM_CPC_31_2024,google/gemini-3-pro-preview,adversarial,65,2,34,17,0.03076923076923077,0.5230769230769231,0.2923076923076923
NEJM_CPC_31_2024,google/gemini-3-pro-preview,structured,70,1,46,17,0.014285714285714285,0.6571428571428571,0.2571428571428571
NEJM_CPC_19_2024,openai/gpt-5.4,baseline,97,6,51,37,0.061855670103092786,0.5257731958762887,0.44329896907216493
NEJM_CPC_19_2024,openai/gpt-5.4,adversarial,66,2,40,21,0.030303030303030304,0.6060606060606061,0.3484848484848485
NEJM_CPC_19_2024,openai/gpt-5.4,structured,78,6,27,30,0.07692307692307693,0.34615384615384615,0.46153846153846156
NEJM_CPC_19_2024,openai/gpt-5.2,baseline,55,0,27,15,0.0,0.4909090909090909,0.2727272727272727
NEJM_CPC_19_2024,openai/gpt-5.2,adversarial,38,1,20,3,0.02631578947368421,0.5263157894736842,0.10526315789473684
NEJM_CPC_19_2024,openai/gpt-5.2,structured,72,7,32,21,0.09722222222222222,0.4444444444444444,0.3888888888888889
NEJM_CPC_19_2024,anthropic/claude-sonnet-4.5,baseline,52,1,32,16,0.019230769230769232,0.6153846153846154,0.3269230769230769
NEJM_CPC_19_2024,anthropic/claude-sonnet-4.5,adversarial,62,3,34,15,0.04838709677419355,0.5483870967741935,0.2903225806451613
NEJM_CPC_19_2024,anthropic/claude-sonnet-4.5,structured,60,1,36,12,0.016666666666666666,0.6,0.21666666666666667
NEJM_CPC_19_2024,anthropic/claude-opus-4.5,baseline,33,0,24,8,0.0,0.7272727272727273,0.24242424242424243
NEJM_CPC_19_2024,anthropic/claude-opus-4.5,adversarial,46,1,33,5,0.021739130434782608,0.717391304347826,0.13043478260869565
NEJM_CPC_19_2024,anthropic/claude-opus-4.5,structured,48,1,31,14,0.020833333333333332,0.6458333333333334,0.3125
NEJM_CPC_19_2024,google/gemini-3-pro-preview,baseline,51,3,26,11,0.058823529411764705,0.5098039215686274,0.27450980392156865
NEJM_CPC_19_2024,google/gemini-3-pro-preview,adversarial,74,2,43,19,0.02702702702702703,0.581081081081081,0.28378378378378377
NEJM_CPC_19_2024,google/gemini-3-pro-preview,structured,69,3,39,15,0.043478260869565216,0.5652173913043478,0.2608695652173913
NEJM_CPC_14_2024,openai/gpt-5.4,baseline,87,0,52,34,0.0,0.5977011494252874,0.39080459770114945
NEJM_CPC_14_2024,openai/gpt-5.4,adversarial,60,0,32,18,0.0,0.5333333333333333,0.3
NEJM_CPC_14_2024,openai/gpt-5.4,structured,69,2,34,26,0.028985507246376812,0.4927536231884058,0.4057971014492754
NEJM_CPC_14_2024,openai/gpt-5.2,baseline,45,1,29,11,0.022222222222222223,0.6444444444444445,0.26666666666666666
NEJM_CPC_14_2024,openai/gpt-5.2,adversarial,50,2,27,8,0.04,0.54,0.2
NEJM_CPC_14_2024,openai/gpt-5.2,structured,70,1,30,24,0.014285714285714285,0.42857142857142855,0.35714285714285715
NEJM_CPC_14_2024,anthropic/claude-sonnet-4.5,baseline,65,3,37,20,0.046153846153846156,0.5692307692307692,0.35384615384615387
NEJM_CPC_14_2024,anthropic/claude-sonnet-4.5,adversarial,69,0,36,17,0.0,0.5217391304347826,0.2463768115942029
NEJM_CPC_14_2024,anthropic/claude-sonnet-4.5,structured,62,2,22,13,0.03225806451612903,0.3548387096774194,0.24193548387096775
NEJM_CPC_14_2024,anthropic/claude-opus-4.5,baseline,40,0,22,16,0.0,0.55,0.4
NEJM_CPC_14_2024,anthropic/claude-opus-4.5,adversarial,49,1,25,10,0.02040816326530612,0.5102040816326531,0.22448979591836735
NEJM_CPC_14_2024,anthropic/claude-opus-4.5,structured,53,4,29,7,0.07547169811320754,0.5471698113207547,0.20754716981132076
NEJM_CPC_14_2024,google/gemini-3-pro-preview,baseline,42,5,26,4,0.11904761904761904,0.6190476190476191,0.21428571428571427
NEJM_CPC_14_2024,google/gemini-3-pro-preview,adversarial,74,2,42,23,0.02702702702702703,0.5675675675675675,0.33783783783783783
NEJM_CPC_14_2024,google/gemini-3-pro-preview,structured,64,2,28,15,0.03125,0.4375,0.265625
NEJM_CPC_07_2024,openai/gpt-5.4,baseline,149,5,65,79,0.03355704697986577,0.436241610738255,0.5637583892617449
NEJM_CPC_07_2024,openai/gpt-5.4,adversarial,79,2,36,29,0.02531645569620253,0.45569620253164556,0.3924050632911392
NEJM_CPC_07_2024,openai/gpt-5.4,structured,74,3,36,22,0.04054054054054054,0.4864864864864865,0.33783783783783783
NEJM_CPC_07_2024,openai/gpt-5.2,baseline,79,4,33,38,0.05063291139240506,0.4177215189873418,0.5316455696202531
NEJM_CPC_07_2024,openai/gpt-5.2,adversarial,43,1,20,13,0.023255813953488372,0.46511627906976744,0.32558139534883723
NEJM_CPC_07_2024,openai/gpt-5.2,structured,65,2,32,23,0.03076923076923077,0.49230769230769234,0.38461538461538464
NEJM_CPC_07_2024,anthropic/claude-sonnet-4.5,baseline,59,0,34,25,0.0,0.576271186440678,0.423728813559322
NEJM_CPC_07_2024,anthropic/claude-sonnet-4.5,adversarial,61,1,29,19,0.01639344262295082,0.47540983606557374,0.32786885245901637
NEJM_CPC_07_2024,anthropic/claude-sonnet-4.5,structured,55,1,24,10,0.01818181818181818,0.43636363636363634,0.2
NEJM_CPC_07_2024,anthropic/claude-opus-4.5,baseline,34,1,21,10,0.029411764705882353,0.6176470588235294,0.3235294117647059
NEJM_CPC_07_2024,anthropic/claude-opus-4.5,adversarial,58,0,29,15,0.0,0.5,0.25862068965517243
NEJM_CPC_07_2024,anthropic/claude-opus-4.5,structured,79,1,57,12,0.012658227848101266,0.7215189873417721,0.16455696202531644
NEJM_CPC_07_2024,google/gemini-3-pro-preview,baseline,58,0,25,26,0.0,0.43103448275862066,0.4482758620689655
NEJM_CPC_07_2024,google/gemini-3-pro-preview,adversarial,80,4,45,19,0.05,0.5625,0.2875
NEJM_CPC_07_2024,google/gemini-3-pro-preview,structured,94,1,53,22,0.010638297872340425,0.5638297872340425,0.24468085106382978
NEJM_CPC_38_2023,openai/gpt-5.4,baseline,84,1,54,25,0.011904761904761904,0.6428571428571429,0.30952380952380953
NEJM_CPC_38_2023,openai/gpt-5.4,adversarial,62,1,38,11,0.016129032258064516,0.6129032258064516,0.1935483870967742
NEJM_CPC_38_2023,openai/gpt-5.4,structured,64,0,36,17,0.0,0.5625,0.265625
NEJM_CPC_38_2023,openai/gpt-5.2,baseline,47,0,32,9,0.0,0.6808510638297872,0.19148936170212766
NEJM_CPC_38_2023,openai/gpt-5.2,adversarial,47,1,30,4,0.02127659574468085,0.6382978723404256,0.10638297872340426
NEJM_CPC_38_2023,openai/gpt-5.2,structured,71,0,44,12,0.0,0.6197183098591549,0.16901408450704225
NEJM_CPC_38_2023,anthropic/claude-sonnet-4.5,baseline,52,0,35,13,0.0,0.6730769230769231,0.25
NEJM_CPC_38_2023,anthropic/claude-sonnet-4.5,adversarial,70,2,40,12,0.02857142857142857,0.5714285714285714,0.2
NEJM_CPC_38_2023,anthropic/claude-sonnet-4.5,structured,57,1,26,18,0.017543859649122806,0.45614035087719296,0.3333333333333333
NEJM_CPC_38_2023,anthropic/claude-opus-4.5,baseline,21,0,16,4,0.0,0.7619047619047619,0.19047619047619047
NEJM_CPC_38_2023,anthropic/claude-opus-4.5,adversarial,62,1,29,12,0.016129032258064516,0.46774193548387094,0.20967741935483872
NEJM_CPC_38_2023,anthropic/claude-opus-4.5,structured,63,1,41,9,0.015873015873015872,0.6507936507936508,0.15873015873015872
NEJM_CPC_38_2023,google/gemini-3-pro-preview,baseline,31,0,19,7,0.0,0.6129032258064516,0.22580645161290322
NEJM_CPC_38_2023,google/gemini-3-pro-preview,adversarial,43,3,25,11,0.06976744186046512,0.5813953488372093,0.32558139534883723
NEJM_CPC_38_2023,google/gemini-3-pro-preview,structured,74,1,44,16,0.013513513513513514,0.5945945945945946,0.22972972972972974
NEJM_CPC_31_2023,openai/gpt-5.4,baseline,77,0,46,28,0.0,0.5974025974025974,0.36363636363636365
NEJM_CPC_31_2023,openai/gpt-5.4,adversarial,60,0,34,18,0.0,0.5666666666666667,0.3
NEJM_CPC_31_2023,openai/gpt-5.4,structured,90,1,43,21,0.011111111111111112,0.4777777777777778,0.24444444444444444
NEJM_CPC_31_2023,openai/gpt-5.2,baseline,82,0,44,36,0.0,0.5365853658536586,0.43902439024390244
NEJM_CPC_31_2023,openai/gpt-5.2,adversarial,40,2,15,5,0.05,0.375,0.175
NEJM_CPC_31_2023,openai/gpt-5.2,structured,65,1,37,15,0.015384615384615385,0.5692307692307692,0.24615384615384617
NEJM_CPC_31_2023,anthropic/claude-sonnet-4.5,baseline,55,0,30,22,0.0,0.5454545454545454,0.4
NEJM_CPC_31_2023,anthropic/claude-sonnet-4.5,adversarial,74,5,39,14,0.06756756756756757,0.527027027027027,0.25675675675675674
NEJM_CPC_31_2023,anthropic/claude-sonnet-4.5,structured,90,10,39,15,0.1111111111111111,0.43333333333333335,0.2777777777777778
NEJM_CPC_31_2023,anthropic/claude-opus-4.5,baseline,28,0,17,10,0.0,0.6071428571428571,0.35714285714285715
NEJM_CPC_31_2023,anthropic/claude-opus-4.5,adversarial,52,1,29,8,0.019230769230769232,0.5576923076923077,0.17307692307692307
NEJM_CPC_31_2023,anthropic/claude-opus-4.5,structured,66,3,34,16,0.045454545454545456,0.5151515151515151,0.2878787878787879
NEJM_CPC_31_2023,google/gemini-3-pro-preview,baseline,24,0,12,11,0.0,0.5,0.4583333333333333
NEJM_CPC_31_2023,google/gemini-3-pro-preview,adversarial,51,1,25,16,0.0196078431372549,0.49019607843137253,0.3333333333333333
NEJM_CPC_31_2023,google/gemini-3-pro-preview,structured,52,2,22,18,0.038461538461538464,0.4230769230769231,0.38461538461538464
NEJM_CPC_02_2023,openai/gpt-5.4,baseline,88,2,56,29,0.022727272727272728,0.6363636363636364,0.3522727272727273
NEJM_CPC_02_2023,openai/gpt-5.4,adversarial,58,1,24,18,0.017241379310344827,0.41379310344827586,0.3275862068965517
NEJM_CPC_02_2023,openai/gpt-5.4,structured,79,1,47,17,0.012658227848101266,0.5949367088607594,0.22784810126582278
NEJM_CPC_02_2023,openai/gpt-5.2,baseline,57,6,27,14,0.10526315789473684,0.47368421052631576,0.3508771929824561
NEJM_CPC_02_2023,openai/gpt-5.2,adversarial,59,2,32,15,0.03389830508474576,0.5423728813559322,0.288135593220339
NEJM_CPC_02_2023,openai/gpt-5.2,structured,64,1,31,20,0.015625,0.484375,0.328125
NEJM_CPC_02_2023,anthropic/claude-sonnet-4.5,baseline,46,1,30,14,0.021739130434782608,0.6521739130434783,0.32608695652173914
NEJM_CPC_02_2023,anthropic/claude-sonnet-4.5,adversarial,72,1,43,16,0.013888888888888888,0.5972222222222222,0.2361111111111111
NEJM_CPC_02_2023,anthropic/claude-sonnet-4.5,structured,54,1,37,9,0.018518518518518517,0.6851851851851852,0.18518518518518517
NEJM_CPC_02_2023,anthropic/claude-opus-4.5,baseline,42,2,25,9,0.047619047619047616,0.5952380952380952,0.2619047619047619
